"orgnr","full_name","short_name","rhf_orgnr"
111111,"Private ideelle sykehus","Private ideelle sykehus, Nord",883658752
333333,"Private ideelle sykehus","Private ideelle sykehus, Vest",983658725
444444,"Private ideelle sykehus","Private ideelle sykehus, Sør-Øst",991324968
888888,"Avtalespesialister","Avtalespesialister",999
999999,"Private klinikker","Private klinikker",999
333333333,"Udefinerte helseforetak","Udefinerte HF",222222222
883971752,"Sunnaas sykehus HF","Sunnaas HF",991324968
883974832,"St. Olavs hospital HF","St. Olavs HF",983658776
894166762,"Vestre Viken HF","Vestre Viken HF",991324968
965985166,"Lovisenberg diakonale sykehus AS","Lovisenberg diakonale sykehus AS",991324968
982791952,"Diakonhjemmet sykehus AS","Diakonhjemmet sykehus AS",991324968
983971636,"Akershus universitetssykehus HF","Akershus HF",991324968
983971709,"Sykehuset Innlandet HF","Innlandet HF",991324968
983971768,"Sykehuset Østfold HF","Østfold HF",991324968
983974678,"Helse Stavanger HF","Stavanger HF",983658725
983974694,"Helse Fonna HF","Fonna HF",983658725
983974724,"Helse Bergen HF","Bergen HF",983658725
983974732,"Helse Førde HF","Førde HF",983658725
983974791,"Helse Nord-Trøndelag HF","Nord-Trøndelag HF",983658776
983974880,"Finnmarkssykehuset HF","Finnmark HF",883658752
983974899,"Universitetssykehuset Nord-Norge HF","UNN HF",883658752
983974910,"Nordlandssykehuset HF","Nordland HF",883658752
983974929,"Helgelandssykehuset HF","Helgeland HF",883658752
983975240,"Sørlandet sykehus HF","Sørlandet HF",991324968
983975259,"Sykehuset i Vestfold HF","Vestfold HF",991324968
983975267,"Sykehuset Telemark HF","Telemark HF",991324968
984027737,"Haraldsplass diakonale sykehus AS","Haraldsplass diakonale sykehus AS",983658725
993467049,"Oslo universitetssykehus HF","OUS HF",991324968
997005562,"Helse Møre og Romsdal HF","Møre og Romsdal HF",983658776
