"orgnr","full_name","short_name","hf_orgnr"
300,"OUS","OUS",993467049
800,"Telemark","Telemark",983975267
900,"Sørlandet","Sørlandet",983975240
444444444,"Udefinerte sykehus","Udefinerte sykehus",333333333
811999032,"Klinikk Røa AS","Klinikk Røa AS",999999
812794922,"C-MEDICAL AS","C-MEDICAL AS",999999
813381192,"ALERIS SYKEHUS HINNA PARK","Aleris Hinna Park",999999
817178782,"MEDI 3 RINGVOLL KLINIKKEN AS AVD KIRURGI HOBØL","Medi 3 Hobøl",999999
821265002,"VOLVAT MEDISINSKE SENTER AS LILLEHAMMER","Volvat Lillehammer",999999
821847052,"UNIVERSITETSSYKEHUSET NORD-NORGE HF AVD STORSLETT- SOMATIKK","Storslett",983974899
873255102,"BETANIEN HOSPITAL","Betanien Skien",444444
873862122,"STAVANGER UNIVERSITETSSJUKEHUS KLINIKK FOR HODE HALS OG REHABILITE AVD FOR REHABILITERING","Stavanger",983974678
874044342,"HELGELANDSSYKEHUSET HF BRØNNØYSUND SOMATIKK","Brønnøysund",983974929
874606162,"VESTRE VIKEN HF HALLINGDAL SJUKESTUGU","Hallingdal",894166762
874631752,"SYKEHUSET INNLANDET HF HABILITERING OG REHABILITERING OTTESTAD","Ottestad",983971709
874632562,"SYKEHUSET INNLANDET HF LILLEHAMMER - SOMATIKK","Lillehammer",983971709
874716782,"OSLO UNIVERSITETSSYKEHUS HF RIKSHOSPITALET - SOMATIKK","Rikshospitalet",993467049
874743372,"HELSE BERGEN HF KYSTHOSPITALET I HAGEVIK","Kysthospitalet i Hagevik",983974724
879595762,"ALERIS SYKEHUS DRAMMEN","Aleris Drammen",999999
879790522,"ALERIS SYKEHUS MARKEN","Aleris Marken",999999
887987122,"IBSENSYKEHUSET PORSGRUNN AS","Ibsensykehusene",999999
888990992,"Nydalen Øre Nese Hals AS","Nydalen Øre Nese Hals AS",999999
897104962,"Sverre Dølvik og Robby Roarsen","Agro ØNH",888888
899643992,"SYKEHUSET I VESTFOLD HF, SOMATIKK, TØNSBERG - SOLVANG","Tønsberg",983975259
912011135,"MEDI 3 RINGVOLL KLINIKKEN AS AVD OSLO","Medi 3 Oslo",999999
912419223,"VOLVAT MEDISINSKE SENTER AS OSLO - SENTRUM","Volvat Oslo sentrum",999999
912777294,"HELSE MØRE OG ROMSDAL HF SEKSJON VAKSENHABILITERING ÅLESUND","Ålesund",997005562
913269756,"KLINIKK STRAND AS","Klinikk Strand",888888
913461223,"ST OLAVS HOSPITAL HF REHABILITERING OG HABILITERING FYSIKALSK MEDISIN ØYA","St. Olav",883974832
913758862,"OSLOFJORDKLINIKKEN VEST AS","Oslofjordklinikken Sandnes",999999
913767098,"Sarpsborg Spesialistsenter AS","Sarpsborg Spesialistsenter",999999
913820983,"Nøtterøy legesenter AS","Nøtterøy legesenter AS",999999
914156661,"PARSENNKLINIKKEN AS","Parsennklinikken AS",999999
914356199,"SUNNAAS SYKEHUS HF NESODDEN POLIKLINIKK","Sunnaas",883971752
914607493,"COLOSSEUMKLINIKKEN MEDISINSKE SENTER AS","Colosseum",999999
914922151,"UROLOGIKLINIKKEN AS","Urologiklinikken AS",999999
915411223,"SYKEHUSET OSLO ØST AS","Sykehuset Oslo Øst",999999
915621457,"ST OLAVS HOSPITAL HF SPESIALISTPOLIKLINIKKEN ØRLANDET","Ørland",883974832
915789528,"VOLVAT MEDISINSKE SENTER AS NORDNORSK HUDLEGESENTER","Nordnorsk Hudlegesenter",999999
916126611,"HELSE MØRE OG ROMSDAL HF SEKSJON FOR HABILITERING BARN OG UNGE ÅLESUND","Ålesund",997005562
916745427," UROLOGIKLINIKKEN TRONDHEIM AS","Urologiklinikken Trondheim",999999
918289593,"VOLVAT MEDISINSKE SENTER AS MOSS","Volvat Moss",999999
918341463,"VOLVAT MEDISINSKE SENTER AS VOLVAT STOKKAN TRONDHEIM","Volvat Stokkan",999999
919729333,"ALERIS HELSE AS AVD ÅLESUND","Aleris Ålesund",999999
919749547,"VOLVAT MEDISINSKE SENTER AS BERGEN-ÅSANE","Volvat Åsane",999999
919825618,"Moelv Mage og Tarm","Moelv Mage og Tarm",999999
920196357,"ST OLAVS HOSPITAL HF REHABILITERING ØRLANDET","Ørland",883974832
920248829,"LHL SYKEHUSET GARDERMOEN","LHL Gardermoen",999999
920422950,"SKI UROLOGISKE SPESIALISTSENTER AS","Ski urologiske spesialistsenter",999999
920500234,"KOLIBRI MEDICAL GROUP AS","Kolibri Sandnes",999999
920655203,"ROMERIKE UROLOGISK SENTER AS","Romerike urologisk senter",999999
921318022,"URO SØR NYGÅRD AS","Uro Sør Nygård",999999
921837755,"UNIVERSITETSSYKEHUSET NORD-NORGE HF AVD BARDU- SOMATIKK","Bardu",983974899
921837798,"UNIVERSITETSSYKEHUSET NORD-NORGE HF AVD FINNSNES- SOMATIKK","Finnsnes",983974899
922213860,"PLAIPETCH ØRENESEHALS-KLINIKK AS","ØNHsenteret Sandnes",888888
922716552,"BETANIEN SYKEHUS AS","Betanien Bergen",333333
922748144,"BETANIEN SYKEHUS AS","Betanien Bergen",333333
922871728,"CAPIO ANOREKSI SENTER AS BERGEN","Capio Bergen",999999
922874468,"Ålesund Mage Tarm klinikk","Ålesund Mage Tarm klinikk",999999
923393528,"Privatklinikken i Skien","Privatklinikken i Skien",999999
924325305,"BETANIEN SYKEHUS AS LABORATORIE- OG RØNTGENSENTER","Betanien Bergen",333333
926961349,"STAVANGER UROLOGISKE SENTER AS","Stavanger urologiske senter",999999
927135035,"NORDLAND UROLOGISKE KLINIKK AS","Nordland urologiske klinikk",999999
928366561,"Geir Siem og Olav Jetlund","Diploma",888888
938801363,"SARPSBORG KOMMUNE","Sarpsborg diabetespoliklinikk",983971768
943545634,"Aleris","Aleris",999999
943927340,"Bogstadveien Øre Nese Hals AS","Bogstadveien ØNH",888888
953164701,"VOLVAT MEDISINSKE SENTER AS","Volvat",999999
964249075,"VIKERSUND BAD REHABILITERINGSSENTER AS","Vikersund Bad Rehabiliteringssenter AS",999999
970950044,"MOELV SPESIALISTSENTER AS","Moelv spesialistsenter",999999
971508116,"SKI UROLOGISKE SENTER AS","Ski urologiske senter",999999
971937548,"EEG LABORATORIET AS","EEG Lab",999999
972140295,"NIMI AS AVD NIMI","NIMI",999999
972149519,"ALERIS SYKEHUS ROSENBORGKLINIKKEN","Aleris Rosenborgklinikken Trondheim",999999
973038710,"MEDI 3 AS AVD KRISTIANSUND","Medi 3 Kristiansund",999999
973129856,"VOLVAT MEDISINSKE SENTER AS OSLO - MAJORSTUEN","Volvat Majorstuen",999999
973129864,"VOLVAT MEDISINSKE SENTER AS HAMAR","Volvat Hamar",999999
973144383,"LHL-KLINIKKENE FEIRING","LHL Feiring",999999
973156829,"HAUGESUND SANITETSFORENINGS REVMATISMESYKEHUS","Haugesund sanitet",333333
973254782,"ST OLAVS HOSPITAL HF REHABILITERING OG HABILITERING TRONDSLETTEN HABILITERINGSSENTER","St. Olav",883974832
